,Rank,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,1,JPMorgan Chase,432.92,320.3608,354.9944,32079.372
1,2,Bank of America,231.52,171.3248,189.8464,17155.631999999998
2,3,Industrial and Commercial Bank of China,194.56,143.9744,159.5392,14416.895999999999
3,4,Agricultural Bank of China,160.68,118.9032,131.7576,11906.387999999999
4,5,HDFC Bank,157.91,116.8534,129.4862,11701.131
5,6,Wells Fargo,155.87,115.3438,127.8134,11549.966999999999
6,7,HSBC Holdings PLC,148.9,110.186,122.098,11033.49
7,8,Morgan Stanley,140.83,104.2142,115.48060000000001,10435.503
8,9,China Construction Bank,139.82,103.46679999999999,114.65239999999999,10360.661999999998
9,10,Bank of China,136.81,101.2394,112.18419999999999,10137.621
